o_zone_id,d_zone_id,links
3,649,"['201494BA', '201497BA', '201500BA', '201530BA', '201531AB', '201533BA', '201534BA', '201536BA', '201537AB', '201541AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568BA', '201573BA', '201574BA', '201581BA']"
3,650,"['201500BA', '201539BA', '201540BA', '201541AB', '201543AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,651,"['201493BA', '201494BA', '201547BA', '201550BA', '201562BA', '201564BA', '201568BA', '201573BA', '201574BA']"
3,652,"['201069AB', '201070BA', '201498BA', '201550BA', '201562BA', '201564BA', '201568BA', '201573BA', '201574BA', '201576BA', '201810BA', '201827AB', '201847BA']"
3,653,"['201051BA', '201070BA', '201498BA', '201550BA', '201562BA', '201564BA', '201568BA', '201573BA', '201574BA', '201579BA', '201583BA', '201810BA', '201827AB', '201844AB', '201847BA']"
3,654,"['201052BA', '201070BA', '201550BA', '201562BA', '201564BA', '201568BA', '201572BA', '201573BA', '201574BA', '201810BA', '201827AB']"
3,2061,"['201500BA', '201529BA', '201541AB', '201542BA', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,2125,"['200821AB', '201005BA', '201065BA', '201102AB', '201342BA', '201346BA', '201351BA', '201353BA', '201354BA', '201500BA', '201533BA', '201541AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA', '201595BA', '201606BA', 'detour-linkb']"
3,2136,"['201065BA', '201102AB', '201342BA', '201346BA', '201351BA', '201353BA', '201354BA', '201500BA', '201533BA', '201541AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA', '201597BA', '201604BA', '201605AB', '201610AB', '201613BA', '201615BA']"
3,2137,"['201065BA', '201102AB', '201342BA', '201346BA', '201351BA', '201353BA', '201354BA', '201500BA', '201533BA', '201541AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA', '201592BA', '201597BA', '201604BA', '201605AB', '201610AB', '201614AB', '201615BA', '201639BA']"
3,2142,"['201065BA', '201102AB', '201342BA', '201346BA', '201351BA', '201353BA', '201354BA', '201500BA', '201533BA', '201541AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA', '201603BA', '201606BA', 'detour-linkb']"
3,2146,"['200820AB', '200821AB', '200984BA', '200985AB', '200989BA', '201065BA', '201102AB', '201342BA', '201346BA', '201351BA', '201353BA', '201354BA', '201500BA', '201533BA', '201541AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA', '201595BA', '201606BA', 'detour-linkb']"
3,2197,"['201495BA', '201502BA', '201507BA', '201548AB', '201549AB', '201550BA', '201551BA', '201559AB', '201560BA', '201562BA', '201564BA', '201568AB', '201568BA']"
4,1,"['201086AB', '201089AB', '201275AB', '201296AB', '201323AB', '201344AB', '201349AB', '201590AB', '201634AB', '201642AB']"
4,2,"['201070BA', '201105AB', '201294BA', '201296AB', '201326AB', '201328AB', '201329AB', '201335AB', '201502AB', '201509AB', '201517AB', '201520AB', '201526AB', '201549BA', '201559BA', '201560AB', '201574BA', '201823AB']"
4,3,"['201105AB', '201294BA', '201296AB', '201326AB', '201328AB', '201329AB', '201335AB', '201502AB', '201509AB', '201517AB', '201520AB', '201526AB', '201551AB', '201559BA', '201560AB', '201562AB', '201564AB', '201568BA']"
4,5,"['200831AB', '200947BA', '201271AB', '201280AB', '201286AB', '201296AB', '201317AB', '201320BA', '201326AB', '201328AB', '201329AB']"
4,6,"['200821AB', '201003BA', '201065BA', '201275AB', '201296AB', '201323AB', '201343AB', '201346BA', '201351BA', '201353BA', '201354BA', '201595BA', '201606BA']"
